decoration,elevator,location,orientation,pattern,property,size,total_price,unit_price,village
精装,有电梯,玉泉营,南 北,2室1厅,2004年建板塔结合,96.95平米,509,52502,三环新城7号院 
精装,有电梯,成寿寺,南 北,2室2厅,2006年建板楼,105.82平米,760,71821,晶城秀府 
精装,2室2厅,岳各庄,南 西,3室2厅,2010年建板楼,136.6平米,1145,83822,大成郡 
精装,有电梯,玉泉营,南 北,2室2厅,2006年建板楼,96.55平米,625,64734,万年花城三期 
简装,有电梯,马连道,南,2室1厅,2008年建塔楼,74.58平米,485,65031,建茗苑 
简装,有电梯,太平桥,南 西 北,3室2厅,2005年建板楼,129.81平米,900,69333,首科花园 
简装,无电梯,看丹桥,南,2室1厅,1989年建板楼,59.1平米,325,54992,韩庄子三里 
简装,无电梯,看丹桥,南 北,2室1厅,1988年建板楼,62.9平米,348,55326,韩庄子三里 
简装,无电梯,七里庄,南 北,2室1厅,1992年建板楼,60.86平米,355,58331,泥洼路5号院 
精装,有电梯,玉泉营,西南,2室1厅,2006年建塔楼,88.78平米,505,56883,鸿业兴园一区 
简装,有电梯,角门,南,2室1厅,1998年建塔楼,78.05平米,415,53172,马家堡67号院 
精装,3室1厅,玉泉营,南 北,2室1厅,2009年建板塔结合,88.12平米,457,51862,鸿业兴园二区 
精装,有电梯,玉泉营,南,3室1厅,2005年建板塔结合,122.88平米,670,54525,三环新城6号院 
简装,无电梯,卢沟桥,南 北,1室1厅,1997年建板楼,56.27平米,258,45851,晓月苑一里 
精装,有电梯,七里庄,西南,1室2厅,2004年建塔楼,73.34平米,430,58632,庄维多摩市二期 
精装,有电梯,玉泉营,南,2室1厅,2007年建板楼,99.84平米,660,66106,优筑 
简装,有电梯,丽泽,东南,3室1厅,2003年建塔楼,144.8平米,920,63536,丰益花园东区 
精装,有电梯,科技园区,南,1室1厅,2005年建塔楼,68.75平米,309,44946,天下儒寓 
精装,有电梯,科技园区,东 南 西,1室1厅,2012年建塔楼,63.01平米,320,50786,御景春天 
精装,有电梯,岳各庄,东,1室1厅,2008年建塔楼,55.54平米,273,49154,丰体时代花园 
简装,有电梯,七里庄,南 西 北,3室2厅,2007年建板楼,137.82平米,850,61675,西局欣园南区 
简装,无电梯,北大地,南 北,2室1厅,1989年建板楼,61.3平米,339,55302,北大地二里 
简装,有电梯,玉泉营,东,1室2厅,2005年建板塔结合,69.38平米,428,61690,三环新城6号院 
简装,有电梯,宋家庄,南,2室1厅,2008年建板楼,99.3平米,588,59215,福臻家园 
简装,有电梯,玉泉营,东南 北,3室1厅,2006年建板楼,111.78平米,595,53230,三环新城8号院 
简装,有电梯,玉泉营,南 北,2室1厅,2011年建板楼,91.11平米,615,67501,万年花城五期 
精装,有电梯,马家堡,西南 西北,3室1厅,1998年建塔楼,88.16平米,518,58757,丰开苑 
简装,有电梯,七里庄,东南,2室1厅,2006年建塔楼,85.78平米,550,64118,庄维多摩市三期 
简装,有电梯,太平桥,东南,2室2厅,2006年建板楼,88.66平米,585,65983,首科花园 
